client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-3855,254119,Image Campaign,Robotics,29086.0,5719542.0,24606.0,609.0,45275.0,19178.0,2022-01-23,2023-12-15,0.0050853984017828,0.0209532715742716,0.6593413016160613,74.28842398884251,0.8459703375869079,1.2830537621614395,40.37414083945104,1.8400001199840412
Client-550,J59PP1,Video Campaign,Robotics,11.0,7664.0,2.0,0.0,0.0,9.0,2022-09-07,2022-09-27,0.0014418811002661,0.0,0.8461538461538461,,0.144910146141568,0.171257445440035,,0.0
Client-3437,J412AJ,Video Campaign,Robotics,95163.0,11927292.0,2619.0,109.0,6878.0,30611.0,2022-05-06,2022-11-11,0.0079786301530746,0.0011432960868905,0.3216681404467786,63.21757812499998,0.0275195059824615,0.0855524763634924,24.070322900612915,2.626370173180778
Client-35,1PS625,Image Campaign,Robotics,158738.0,18444689.0,6896.0,1165.0,165443.0,102749.0,2022-08-05,2022-11-19,0.0086061820213188,0.0073413261508639,0.6472843518910206,141.9684282419204,0.0434416079522707,0.0671136384270026,5.917406073446032,23.99166568591504
Client-4408,16256A,Image Campaign,Robotics,177508.0,16928002.0,10402.0,2311.0,97146.0,126313.0,2022-01-23,2024-01-05,0.0104860605636993,0.0130199728970038,0.7115877279931812,42.03378080176536,0.0586020240149534,0.082353899188541,4.500932872789542,9.338904176038977
Client-2158,41P4S4,Image Campaign,Robotics,51.0,19427.0,26.0,0.0,0.0,33.0,2023-07-18,2023-07-21,0.0026252461168234,0.0,0.65,,0.5017325375431838,0.7718962116048982,,0.0
Client-1306,195SS4,Image Campaign,Robotics,53672.0,5706907.0,5036.0,863.0,19064.0,45346.0,2022-01-23,2023-06-19,0.009404814531052,0.0160743696946661,0.8448625364246801,22.097310998733548,0.0938266398797152,0.1110555100203332,5.8370338409504825,3.7857089064152656
Client-2620,JJ1124,Image Campaign,Robotics,506.0,78415.0,282.0,13.0,1137.0,319.0,2022-03-04,2022-04-15,0.0064496547537749,0.0252100840336134,0.6302521008403361,89.18333333333332,0.5584957400508443,0.8861465742140064,22.15366435535016,4.025669609452007
Client-4238,J295SP,Image Campaign,Transportation,7527.0,2727577.0,6089.0,118.0,89597.0,2307.0,2022-07-27,2024-01-05,0.0027595005662351,0.0156973461321287,0.3064935064935065,758.3303597122299,0.8090397743045749,2.63966367040052,51.53990792422309,14.713459729636504
Client-195,1A2J55,Image Campaign,Robotics,195435.0,20721978.0,29681.0,3807.0,1011254.0,117876.0,2022-04-27,2022-11-06,0.0094313099439931,0.0194803500287051,0.6031471268767071,265.6196071466843,0.151868719200222,0.2517938201689659,7.795995399283736,34.071288340048056
Client-4409,24A1JA,Image Campaign,Robotics,19304.0,1947772.0,1830.0,31.0,3353.0,9037.0,2022-01-23,2022-03-27,0.0099105519230441,0.0015852047556142,0.4681638044914135,109.57444444444444,0.0948203476264317,0.2025366906128917,59.815835961007366,1.831863463646544
Client-2339,4A5A9J,Image Campaign,Robotics,29.0,3256.0,13.0,0.0,0.0,5.0,2023-06-01,2023-06-01,0.0088749673714434,0.0,0.1764705882352941,,0.4449866892835125,2.5215912392732376,,0.0
Client-1939,J6P296,Image Campaign,Robotics,40177.0,13748569.0,4439.0,673.0,76404.0,29690.0,2022-10-23,2024-01-05,0.0029222641386251,0.0167558761926925,0.7389722216345442,113.49390671856148,0.1104783540255926,0.149502715787102,6.593409545110716,17.213234813044775
Client-4410,21AA52,Image Campaign,Robotics,90504.0,16826755.0,43623.0,647.0,241825.0,47501.0,2022-01-23,2024-01-05,0.0053785623914752,0.0071472176567269,0.524846208030054,373.85019710906704,0.4819986097942911,0.9183616122585964,67.43863597614605,5.543561071450242
Client-4411,21PP26,Image Campaign,Robotics,1592.0,283675.0,953.0,40.0,6429.0,1028.0,2022-01-23,2022-09-21,0.0056122372541087,0.0250934329951948,0.6454885210891618,160.9363829787234,0.5987181197222811,0.9275426288170656,23.85955400510282,6.745154705922168
Client-436,249214,Image Campaign,Transportation,4355949.0,1013071658.0,3639132.0,54171.0,137452716.0,2818045.0,2022-01-10,2024-01-05,0.0042997443143404,0.0124361760792843,0.6469416619216235,2537.3692168159496,0.8354396222818015,1.2913677870123232,67.17817574756312,37.77073712675195
Client-924,29JSJS,Image Campaign,Transportation,6975.0,475853.0,564.0,2706.0,1624628.0,4180.0,2022-01-23,2022-05-06,0.0146580997343822,0.3878869120155983,0.5993175725079211,600.4797360980207,0.0808635098319695,0.134925978381688,0.2084718698338491,2880.387347111145
Client-3761,2P5166,Video Campaign,Robotics,1241.0,481811.0,919.0,4.0,2130.0,528.0,2022-01-06,2022-01-13,0.0025757009081991,0.0034246575342465,0.4253424657534246,501.2122397106267,0.7404607306636739,1.7408577564717616,216.2145333537928,2.3181246511791644
Client-563,2J12A5,Image Campaign,Robotics,116204.0,7779350.0,16837.0,2292.0,355392.0,90891.0,2022-01-23,2022-05-31,0.0149374312731748,0.0197278911564625,0.782173944846756,155.02694846125328,0.1448929745199035,0.1852439287635579,7.344574915319248,21.107681553890817
Client-3,256J4J,Image Campaign,Robotics,74365.0,9999095.0,34441.0,6956.0,610745.0,56467.0,2022-05-05,2022-05-25,0.0074371531739195,0.0935442574981711,0.75932699341624,87.79614409946237,0.4631398091261459,0.6099346041189224,4.951023414079699,17.732928478946004
Client-138,21J9PJ,Image Campaign,Robotics,183598.0,20550058.0,10027.0,905.0,194195.0,118346.0,2022-08-05,2022-12-11,0.0089341985633262,0.0049306012092704,0.644593931425291,214.5203004694836,0.0546121440460246,0.0847233295002782,11.076163276669703,19.36774450782418
Client-4412,J14146,Image Campaign,Robotics,1278.0,159673.0,104.0,2.0,288.0,843.0,2022-01-23,2022-02-04,0.0080063454546422,0.0013297872340425,0.6595744680851063,169.6,0.0812188144801197,0.1231382025988911,61.07654848905002,2.776843226994177
Client-4413,2JA1PJ,Image Campaign,Robotics,2943.0,541458.0,1079.0,612.0,348358.0,2170.0,2022-01-23,2023-04-25,0.0054347740769753,0.2079722703639514,0.7374350086655113,569.2119008671991,0.3665870602169213,0.4971110076267064,1.7626727812096965,322.9254498821712
Client-195,JS2A2S,Video Campaign,Robotics,12808.0,1159939.0,1611.0,0.0,0.0,247.0,2023-01-14,2023-02-14,0.0110417884942043,0.0,0.0193124502256437,,0.1257694693996648,6.512351769464431,,0.0
Client-4414,159JS,Image Campaign,Robotics,93185.0,26608528.0,32094.0,5609.0,245052.0,48531.0,2022-01-23,2023-02-19,0.0035020596310712,0.0601939267894444,0.5208019775789253,43.687889074102166,0.3444182146883305,0.661322785849321,5.721810040622365,7.635326717234081
